fold,split,n,n_groups,positives,negatives,prevalence
0,train,7585,7537,359,7226,0.047330257086354646
0,test,1897,1885,112,1785,0.05904059040590406
1,train,7585,7537,410,7175,0.05405405405405406
1,test,1897,1885,122,1775,0.06431207169214549
2,train,7586,7538,345,7241,0.04547851305035592
2,test,1896,1884,75,1821,0.03955696202531646
3,train,7586,7538,340,7246,0.04481940416556815
3,test,1896,1884,89,1807,0.0469409282700422
4,train,7586,7538,347,7239,0.04574215660427103
4,test,1896,1884,113,1783,0.05959915611814346
