d,n,k,seed,auc_internal,auc_vs_null,jaccard_rerun,calibration_brier
512,500,2,0,1.0,0.5133682138914223,0.6185344827586207,0.0222719426046614
512,500,2,1,1.0,0.5074810772751276,0.4392935982339956,0.02523830240839133
512,500,2,2,1.0,0.48991067412120054,0.36637931034482757,0.032507849338137634
512,500,2,3,1.0,0.4920291153050756,0.5362997658079626,0.029886016909279656
512,500,2,4,1.0,0.5252578640527901,0.3932853717026379,0.030908435836270627
512,500,2,5,1.0,0.5399038461538461,0.4247787610619469,0.028912951585939328
512,500,2,6,1.0,0.5077830680196861,0.39770114942528734,0.033988559877859016
512,500,2,7,1.0,0.4685954777487958,0.41745283018867924,0.030727897470853614
512,500,2,8,1.0,0.4844418794786708,0.41612200435729846,0.025556299806296152
512,500,2,9,1.0,0.4885838173410775,0.4765258215962441,0.025064017399713364
512,500,4,0,1.0,0.5102801644826318,0.32463768115942027,0.025264313874386317
512,500,4,1,1.0,0.5273719415595846,0.28619528619528617,0.021755360375546588
512,500,4,2,1.0,0.4942484416168627,0.24281984334203655,0.023666962219549694
512,500,4,3,1.0,0.48082591066747005,0.3768472906403941,0.025519960934281428
512,500,4,4,1.0,0.5097379716830034,0.1746031746031746,0.020966947449930294
512,500,4,5,1.0,0.496474358974359,0.3333333333333333,0.019775593077659734
512,500,4,6,1.0,0.48203722406579136,0.2593856655290102,0.02054170861631319
512,500,4,7,1.0,0.47726872669664433,0.3301282051282051,0.02415352578333908
512,500,4,8,1.0,0.5043203642251399,0.26153846153846155,0.0237303007988447
512,500,4,9,1.0,0.4663434614953839,0.30368098159509205,0.02091797073064719
512,500,8,0,1.0,0.532632522120354,0.2875536480686695,0.011817574739792256
512,500,8,1,1.0,0.4778128050439263,0.08064516129032258,0.016984830225013823
512,500,8,2,1.0,0.5107962213225371,0.17272727272727273,0.01550180036926412
512,500,8,3,1.0,0.49196398039439193,0.205761316872428,0.016236536187881075
512,500,8,4,1.0,0.5142225639054392,0.12236286919831224,0.01517651838246945
512,500,8,5,1.0,0.5207211538461538,0.10194174757281553,0.01464448672226476
512,500,8,6,1.0,0.5189567001715321,0.16113744075829384,0.01424901148542902
512,500,8,7,1.0,0.4923588996815541,0.18787878787878787,0.014249020445339766
512,500,8,8,1.0,0.5217781625226439,0.09313725490196079,0.021309241228409093
512,500,8,9,1.0,0.5258484135746172,0.12605042016806722,0.014199313780036995
